FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,MG_PER_M3,geom
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ecd,Darwin,2011-06-27 13:48,NRSDAR,NRSDAR20110627,NRSDAR20110627_ZOOBIOWC,2011-06-27T04:18:00,-12.4,130.768,5.5659,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ecc,Darwin,2011-10-05 09:31,NRSDAR,NRSDAR20111005,NRSDAR20111005_ZOOBIOWC,2011-10-05T00:01:00,-12.4,130.768,1.3752,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ecb,Darwin,2012-01-15 07:00,NRSDAR,NRSDAR20120114_21:30,NRSDAR20120114_21:30_ZOOBIOWC,2012-01-14T21:30:00,-12.4,130.768,39.1297,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5eca,Darwin,2012-01-15 09:05,NRSDAR,NRSDAR20120114_23:35,NRSDAR20120114_23:35_ZOOBIOWC,2012-01-14T23:35:00,-12.4,130.768,26.3236,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec9,Darwin,2012-01-15 13:05,NRSDAR,NRSDAR20120115_03:35,NRSDAR20120115_03:35_ZOOBIOWC,2012-01-15T03:35:00,-12.4,130.768,48.4134,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec8,Darwin,2012-01-15 15:10,NRSDAR,NRSDAR20120115_05:40,NRSDAR20120115_05:40_ZOOBIOWC,2012-01-15T05:40:00,-12.4,130.768,235.2807,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec7,Darwin,2012-04-17 09:42,NRSDAR,NRSDAR20120417,NRSDAR20120417_ZOOBIOWC,2012-04-17T00:12:00,-12.4,130.768,27.0307,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec6,Darwin,2012-07-30 02:00,NRSDAR,NRSDAR20120729_16:30,NRSDAR20120729_16:30_ZOOBIOWC,2012-07-29T16:30:00,-12.4,130.768,57.7599,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec5,Darwin,2012-07-30 05:00,NRSDAR,NRSDAR20120729_19:30,NRSDAR20120729_19:30_ZOOBIOWC,2012-07-29T19:30:00,-12.4,130.768,49.6622,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec4,Darwin,2012-07-30 08:00,NRSDAR,NRSDAR20120729_22:30,NRSDAR20120729_22:30_ZOOBIOWC,2012-07-29T22:30:00,-12.4,130.768,29.3207,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec3,Darwin,2012-07-30 11:00,NRSDAR,NRSDAR20120730_01:30,NRSDAR20120730_01:30_ZOOBIOWC,2012-07-30T01:30:00,-12.4,130.768,30.9589,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec2,Darwin,2012-10-30 07:51,NRSDAR,NRSDAR20121029,NRSDAR20121029_ZOOBIOWC,2012-10-29T22:21:00,-12.4,130.768,47.8778,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec1,Darwin,2012-12-09 02:00,NRSDAR,NRSDAR20121208_16:30,NRSDAR20121208_16:30_ZOOBIOWC,2012-12-08T16:30:00,-12.4,130.768,60.471,POINT (130.76805 -12.4)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5ec0,Darwin,2012-12-09 05:30,NRSDAR,NRSDAR20121208_20:00,NRSDAR20121208_20:00_ZOOBIOWC,2012-12-08T20:00:00,-12.4,130.768,53.5752,POINT (130.76805 -12.4)
